Retrieve all orders based on cust
orderID                  totalAmmount             
--------------------------------------------------
5                        14.95                    
51                       65.95                    
62                       13.95                    
70                       18.45                    
73                       14.45                    
75                       11.95                    
81                       11.95                    
98                       11.95                    
99                       18.45                    
108                      35.95                    
114                      13.95                    
125                      14.95                    
134                      14.95                    
145                      25.95                    
148                      35.95                    
150                      17.95                    
157                      27.95                    
190                      53.95                    
192                      38.95                    
207                      14.45                    
208                      11.95                    
216                      23.95                    
225                      16.95                    
253                      47.95                    
255                      8.95                     
273                      29.95                    
277                      13.45                    
333                      31.95                    
334                      37.95                    
346                      11.95                    
354                      28.45                    
372                      45.95                    
374                      23.95                    
389                      25.95                    
392                      38.95                    
395                      27.95                    
402                      44.95                    
424                      43.45                    
429                      18.95                    
447                      31.95                    
453                      65.95                    
454                      50.95                    
463                      47.95                    
477                      17.95                    
488                      17.95                    
