orderID,custID,dishID,orderDate,quantity,totalAmmount
1,6,77,2024-01-01,3,33
2,15,101,2024-01-02,1,9
3,7,3,2024-01-03,1,11
4,13,40,2024-01-04,2,40
5,1,17,2024-01-05,3,9
6,11,27,2024-01-06,3,39
7,12,1,2024-01-07,2,6
8,4,56,2024-01-08,1,6
9,3,18,2024-01-09,2,25
10,12,28,2024-01-10,1,16
11,4,51,2024-01-11,3,42
12,2,13,2024-01-12,1,8
13,14,1,2024-01-13,1,3
14,15,78,2024-01-14,3,22.5
15,13,19,2024-01-15,2,12
16,10,98,2024-01-16,2,15
17,2,43,2024-01-17,1,12
18,15,32,2024-01-18,1,6
19,2,46,2024-01-19,3,42
20,12,5,2024-01-20,1,13
21,7,1,2024-01-21,1,3
22,11,86,2024-01-22,1,8.5
23,3,15,2024-01-23,2,22
24,11,104,2024-01-24,3,24
25,8,45,2024-01-25,3,27
26,10,47,2024-01-26,3,22.5
27,4,2,2024-01-27,3,27
28,10,61,2024-01-28,1,11
29,2,44,2024-01-29,3,22.5
30,7,59,2024-01-30,1,13
31,15,42,2024-01-31,3,36
32,14,96,2024-02-1,3,27
33,11,66,2024-02-02,3,36
34,11,49,2024-02-03,1,8.5
35,6,23,2024-02-04,3,37.5
36,10,26,2024-02-05,6
37,12,49,2024-02-06,3,25.5
38,11,63,2024-02-07,2,16
39,12,34,2024-02-08,3,48
40,14,85,2024-02-09,1,10
41,7,15,2024-02-10,2,22
42,12,85,2024-02-11,3,30
43,9,22,2024-02-12,2,30
44,5,85,2024-02-13,2,20
45,6,35,2024-02-14,1,7.5
46,15,95,2024-02-15,2,30
47,12,26,2024-02-16,3,9
48,6,8,2024-02-17,2,16
49,7,73,2024-02-18,3,60
50,10,41,2024-02-19,2,28
51,1,12,2024-02-20,3,60
52,7,91,2024-02-21,1,16
53,3,63,2024-02-22,3,24
54,4,66,2024-02-23,1,12
55,8,95,2024-02-24,1,15
56,6,64,2024-02-25,1,20
57,4,17,2024-02-26,3,9
58,5,25,2024-02-27,2,28
59,13,89,2024-02-28,1,12.5
60,11,11,2024-02-29,1,11
61,4,75,2024-02-30,1,3
62,1,13,2024-02-31,1,8
63,7,45,2024-03-01,1,9
64,11,103,2024-03-02,2,12
65,10,71,2024-03-03,3,30
66,5,36,2024-03-04,2,25
67,15,75,2024-03-05,2,6
68,10,38,2024-03-06,3,42
69,14,33,2024-03-07,2,17
70,1,23,2024-03-08,1,12.5
71,7,48,2024-03-09,2,16
72,13,30,2024-03-10,2,30
73,1,33,2024-03-11,1,8.5
74,15,21,2024-03-12,3,39
75,1,1,2024-03-13,2,6
76,4,76,2024-03-14,2,20
77,3,59,2024-03-15,3,39
78,4,20,2024-03-16,1,7.5
79,5,44,2024-03-17,3,22.5
80,15,77,2024-03-18,1,11
81,1,17,2024-03-19,2,6
82,14,7,2024-03-20,2,20
83,7,55,2024-03-21,2,26
84,11,19,2024-03-22,1,6
85,15,85,2024-03-23,2,20
86,11,35,2024-03-24,2,15
87,6,16,2024-03-25,2,17
88,3,31,2024-03-26,1,9
89,12,31,2024-03-27,27
90,4,21,2024-03-28,3,39
91,12,60,2024-03-29,1,9
92,13,85,2024-03-30,3,30
93,6,50,2024-03-31,2,6
94,7,81,2024-04-01,3,18
95,11,73,2024-04-02,1,20
96,5,84,2024-04-03,1,8.5
97,4,67,2024-04-04,2,20
98,1,14,2024-04-05,1,6
99,1,18,2024-04-06,1,12.5
100,14,80,2024-04-07,1,13
101,10,36,2024-04-08,3,37.5
102,4,17,2024-04-09,1,3
103,7,30,2024-04-10,2,30
104,7,59,2024-04-11,2,26
105,6,29,2024-04-12,2,20
106,13,25,2024-04-13,2,28
107,9,39,2024-04-14,2,32
108,1,7,2024-04-15,3,30
109,11,25,2024-04-16,3,42
110,13,43,2024-04-17,1,12
111,7,85,2024-04-18,3,30
112,7,44,2024-04-19,2,15
113,12,103,2024-04-20,3,18
114,1,8,2024-04-21,1,8
115,3,54,2024-04-22,3,60
116,4,32,2024-04-23,1,6
117,8,49,2024-04-24,3,25.5
118,6,88,2024-04-25,2,16
119,15,69,2024-04-26,1,3
120,10,39,2024-04-27,1,16
121,11,71,2024-04-28,1,10
122,15,78,2024-04-29,3,22.5
123,12,44,2024-04-30,1,7.5
124,10,87,2024-04-31,1,20
125,1,17,2024-05-01,3,9
126,12,45,2024-05-02,1,9
127,13,39,2024-05-03,2,32
128,10,32,2024-05-04,1,6
129,11,9,2024-05-05,3,27
130,7,68,2024-05-06,2,15
131,9,98,2024-05-07,1,7.5
132,2,45,2024-05-08,2,18
133,8,4,2024-05-09,3,36
134,1,9,2024-05-10,1,9
135,12,73,2024-05-11,3,60
136,8,22,2024-05-12,1,15
137,2,33,2024-05-13,3,25.5
138,13,82,2024-05-14,3,45
139,14,94,2024-05-15,2,30
140,4,53,2024-05-16,1,15
141,12,40,2024-05-17,2,40
142,4,68,2024-05-18,2,15
143,14,95,2024-05-19,3,45
144,8,34,2024-05-20,1,16
145,1,7,2024-05-21,2,20
146,8,36,2024-05-22,2,25
147,2,51,2024-05-23,2,28
148,1,30,2024-05-24,2,30
149,5,4,2024-05-25,2,24
150,1,14,2024-05-26,2,12
151,4,40,2024-05-27,1,20
152,12,105,2024-05-28,2,16
153,8,14,2024-05-29,3,18
154,9,53,2024-05-30,2,30
155,12,17,2024-05-31,2,6
156,6,14,2024-06-01,1,6
157,1,24,2024-06-02,2,22
158,4,61,2024-06-03,2,22
159,13,41,2024-06-04,1,14
160,15,61,2024-06-05,3,33
161,14,47,2024-06-06,2,15
162,7,29,2024-06-07,2,20
163,2,31,2024-06-08,3,27
164,14,30,2024-06-09,2,30
165,2,6,2024-06-10,2,28
166,11,102,2024-06-11,3,25.5
167,15,5,2024-06-12,1,13
168,13,33,2024-06-13,1,8.5
169,12,1,2024-06-14,1,3
170,13,19,2024-06-15,1,6
171,6,60,2024-06-16,3,27
172,9,7,2024-06-17,3,30
173,9,22,2024-06-18,3,45
174,13,53,2024-06-19,3,45
175,2,52,2024-06-20,1,12
176,8,33,2024-06-21,2,17
177,12,27,2024-06-22,2,26
178,11,96,2024-06-23,3,27
179,8,50,2024-06-24,1,3
180,13,38,2024-06-25,2,28
181,14,69,2024-06-26,1,3
182,11,88,2024-06-27,3,24
183,10,96,2024-06-28,1,9
184,5,5,2024-06-29,2,26
185,9,27,2024-06-30,3,39
186,9,1,2024-06-31,1,3
187,7,41,1/07/2024,1,14
188,13,48,2/07/2024,3,24
189,8,9,3/07/2024,1,9
190,1,34,4/07/2024,3,48
191,2,40,5/07/2024,2,40
192,1,15,6/07/2024,3,33
193,11,6,7/07/2024,1,14
194,15,82,8/07/2024,2,30
195,15,17,9/07/2024,3,9
196,10,54,10/07/2024,3,60
197,14,48,11/07/2024,3,24
198,5,78,12/07/2024,3,22.5
199,4,31,13/07/2024,2,18
200,13,86,14/07/2024,1,8.5
201,15,98,15/07/2024,1,7.5
202,4,39,16/07/2024,1,16
203,15,48,17/07/2024,1,8
204,13,11,18/07/2024,2,22
205,5,29,19/07/2024,1,10
206,11,40,20/07/2024,2,40
207,1,16,21/07/2024,1,8.5
208,1,14,22/07/2024,1,6
209,4,25,23/07/2024,1,14
210,9,80,24/07/2024,2,26
211,4,69,25/07/2024,1,3
212,2,47,26/07/2024,2,15
213,13,54,27/07/2024,1,20
214,9,17,28/07/2024,2,6
215,5,5,29/07/2024,1,13
216,1,2,30/07/2024,2,18
217,2,53,31/07/2024,3,45
218,6,15,1/08/2024,2,22
219,5,80,2/08/2024,2,26
220,12,72,3/08/2024,1,8.5
221,8,73,4/08/2024,2,40
222,10,37,5/08/2024,1,10
223,5,79,6/08/2024,1,15
224,7,17,7/08/2024,1,3
225,1,3,8/08/2024,1,11
226,7,14,9/08/2024,2,12
227,13,23,10/08/2024,3,37.5
228,6,29,11/08/2024,2,20
229,10,11,12/08/2024,1,11
230,3,54,13/08/2024,3,60
231,6,90,14/08/2024,3,18
232,9,52,15/08/2024,1,12
233,4,34,16/08/2024,3,48
234,9,97,17/08/2024,2,25
